Price,Land Size,Building Size,Year Built,Rooms,County
"USD $64,900",,,2025,"2 bedroom(s), 1 bathroom(s)",
"USD $510,000","1,133.12 m2",194.54 m2,1974,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Hillsborough
"USD $2,100,000","12,423.86 m2",,1987,"4 bedroom(s), 5 bathroom(s)",BUCKS
"USD $650,000","34,398.31 m2",,,,Habersham
"USD $550,000","1,300.66 m2",185.81 m2,1976,"4 bedroom(s), 2 bathroom(s)",Calhoun
"USD $334,900",934.82 m2,158.77 m2,2005,"4 bedroom(s), 2 bathroom(s)",Lee
"USD $299,900","1,108.84 m2",178.84 m2,1949,"5 bedroom(s), 2 bathroom(s)",
"USD $100,000",161.87 m2,95.13 m2,1960,"3 bedroom(s), 1 bathroom(s)",BALTIMORE
"USD $639,900",121.41 m2,,2014,"3 bedroom(s), 4 bathroom(s)",FREDERICK
"USD $472,900","7,931.85 m2",220.37 m2,1975,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Woodford
"USD $505,000","1,780.62 m2",167.32 m2,2015,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Saginaw
"USD $4,899,000",,278.71 m2,1901,"7 bedroom(s), 3 bathroom(s)",Kings (Brooklyn)
"USD $20,000","4,492.01 m2",,,,Washington
"USD $315,000",121.41 m2,,2005,"3 bedroom(s), 3 bathroom(s)",Cherokee
"USD $230,000",,110.37 m2,1975,"2 bedroom(s), 2 bathroom(s)",PRINCE GEORGES
"USD $749,000",501.81 m2,147.62 m2,1954,"5 bedroom(s), 3 bathroom(s)",Nassau County
"USD $400,000","4,168.27 m2",,,,MONTGOMERY
"USD $279,500",,78.87 m2,1984,"2 bedroom(s), 2 bathroom(s)",Riverside
"USD $130,000","1,092.65 m2",119.10 m2,1957,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Hancock
"USD $315,000","3,035.15 m2",126.16 m2,1998,"3 bedroom(s), 2 bathroom(s)",Jackson
"USD $310,000",594.12 m2,150.87 m2,1990,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Lancaster
"USD $455,000","3,723.11 m2",349.59 m2,1999,"5 bedroom(s), 4 bathroom(s)",Walton - GA
"USD $801,500","10,117.15 m2",,2018,,Bryan
"USD $319,900",,172.43 m2,1972,"3 bedroom(s), 3 bathroom(s)",Lancaster
"USD $244,900",,108.98 m2,1946,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Lancaster
"USD $2,229,000","1,780.62 m2",274.71 m2,2020,"4 bedroom(s), 4 bathroom(s)",Mohave
"USD $499,900",,330.92 m2,,"3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Marathon County
"USD $1,125,000","1,214.06 m2",289.95 m2,2000,"4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Seminole
"USD $975,000","1,458.08 m2",345.60 m2,2011,"4 bedroom(s), 5 bathroom(s)",Oklahoma
"USD $160,000",,56.67 m2,1965,"1 bedroom(s), 1 bathroom(s)",
"USD $439,900",202.34 m2,206.43 m2,1909,"5 bedroom(s), 2 bathroom(s)",Fairfield
"USD $534,500",768.90 m2,229.66 m2,2024,"4 bedroom(s), 3 bathroom(s)",Charlotte
"USD $129,000",283.28 m2,,,,Walton
"USD $645,999",647.50 m2,381.00 m2,2019,"4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Fayette
"USD $425,000",364.22 m2,215.35 m2,2006,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Clark
"USD $441,000",607.03 m2,181.53 m2,2015,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Manatee
"USD $315,000","1,052.18 m2",133.41 m2,1963,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Oakland
"USD $645,000",971.25 m2,289.86 m2,2025,"3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Jefferson
"USD $30,000",971.25 m2,,,,Charlotte
"USD $395,000",924.30 m2,148.64 m2,2025,"3 bedroom(s), 2 bathroom(s)",Lee
"USD $299,900",161.87 m2,134.90 m2,1984,"2 bedroom(s), 3 bathroom(s)",Cobb
"USD $187,000",687.97 m2,106.47 m2,1953,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Marion
"USD $1,950,000",526.09 m2,272.30 m2,2025,7 bedroom(s),Alameda
"USD $417,000",647.50 m2,152.92 m2,2022,"3 bedroom(s), 2 bathroom(s)",Jefferson
"USD $199,900",930.78 m2,158.68 m2,1958,"3 bedroom(s), 2 bathroom(s)",Lorain
"USD $820,000","6,636.85 m2",238.48 m2,2021,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Polk
"USD $445,000","1,052.18 m2",173.17 m2,1945,"4 bedroom(s), 2 bathroom(s)",Anderson County - 30
"USD $250,000","8,862.62 m2",145.67 m2,1982,"2 bedroom(s), 1 bathroom(s)",Cocke County - 39
"USD $630,000",,137.12 m2,1982,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Pinellas
"USD $530,000",323.75 m2,120.40 m2,1985,"2 bedroom(s), 2 bathroom(s)",Monmouth
"USD $39,000","1,861.56 m2",,,,Rhea
"USD $349,900",566.56 m2,91.79 m2,1964,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Clark
"USD $190,000",805.33 m2,96.99 m2,1939,"2 bedroom(s), 1 bathroom(s)",Tulsa
"USD $1,199,900",919.85 m2,336.59 m2,2000,"5 bedroom(s), 4 bathroom(s)",Travis
"USD $360,000",526.09 m2,191.47 m2,2022,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Manatee
"USD $584,500",485.62 m2,234.12 m2,1955,"3 bedroom(s), 3 bathroom(s)",BALTIMORE
"USD $2,850,000","16,713.53 m2",570.80 m2,1988,"5 bedroom(s), 5 bathroom(s)",Fairfield
"USD $179,900","2,832.80 m2",81.57 m2,,"2 bedroom(s), 1 bathroom(s)",LIMESTONE
"USD $215,000","5,260.92 m2",176.52 m2,,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",
"USD $30,000","4,046.86 m2",,,,Lee
"USD $399,000","161,874.41 m2",,,,Green
"USD $649,900","1,436.64 m2",248.61 m2,2022,"4 bedroom(s), 4 bathroom(s)",Baldwin
"USD $124,900","2,711.40 m2",74.32 m2,2025,"2 bedroom(s), 1 bathroom(s)",Muskogee
"USD $250,000","1,618.74 m2",139.35 m2,1991,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Waupaca
"USD $769,000",,188.59 m2,2025,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Berrien
"USD $265,000",613.16 m2,137.40 m2,1958,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Douglas
"USD $479,000",,159.24 m2,1985,"3 bedroom(s), 3 bathroom(s)",Broward
"USD $1,680,000","1,456.87 m2",492.48 m2,2020,"5 bedroom(s), 5 bathroom(s)",Hamilton
"USD $289,000","6,495.21 m2",170.76 m2,1951,"3 bedroom(s), 1 bathroom(s)",Yadkin
"USD $600,000",364.22 m2,183.86 m2,2010,"3 bedroom(s), 3 bathroom(s)",York
"USD $900,000",335.89 m2,315.87 m2,2016,"2 bedroom(s), 4 bathroom(s)",Tulsa
"USD $340,000",,121.89 m2,1955,"3 bedroom(s), 1 bathroom(s)",MONTGOMERY
"USD $459,000","2,954.21 m2",191.66 m2,1996,"4 bedroom(s), 3 bathroom(s)",New Haven
"USD $425,000","2,306.71 m2",204.11 m2,1960,"3 bedroom(s), 3 bathroom(s)",Marion
"USD $399,900",,116.50 m2,1995,"3 bedroom(s), 3 bathroom(s)",HOWARD
"USD $310,000","1,092.65 m2",,1990,"3 bedroom(s), 2 bathroom(s)",
"USD $248,000",,,2025,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Pulaski
"USD $32,000","11,209.80 m2",,,,Carroll
"USD $95,000","1,133.12 m2",,,,Polk
"USD $1,799,888","3,723.11 m2",666.39 m2,2004,"5 bedroom(s), 6 bathroom(s)",LOUDOUN
"USD $579,000","1,375.93 m2",,1950,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Morris
"USD $915,000",,204.39 m2,2006,"3 bedroom(s), 4 bathroom(s)",PHILADELPHIA
"USD $375,000",602.98 m2,126.16 m2,1911,"3 bedroom(s), 3 bathroom(s)",Sanders
"USD $329,900","2,023.43 m2",,,"3 bedroom(s), 2 bathroom(s)",Greenville
"USD $920,000","186,155.56 m2",,,,
"USD $473,000","29,096.92 m2",,1980,"3 bedroom(s), 2 bathroom(s)",
"USD $325,000",,155.15 m2,2025,"3 bedroom(s), 3 bathroom(s)",
"USD $445,000","1,497.34 m2",209.03 m2,2004,"4 bedroom(s), 3 bathroom(s)",CUMBERLAND
"USD $7,500","20,234.30 m2",,,,Mohave
"USD $310,000",348.43 m2,79.71 m2,1948,"2 bedroom(s), 2 bathroom(s)",Escambia - Fl
"USD $1,100,000",687.97 m2,151.43 m2,1971,"3 bedroom(s), 2 bathroom(s)",Cumberland
"USD $349,900","20,558.05 m2",107.02 m2,2004,"2 bedroom(s), 2 bathroom(s)",MORGAN
"USD $175,000",625.24 m2,130.06 m2,1956,"3 bedroom(s), 2 bathroom(s)",Summit
"USD $775,000",323.75 m2,,2008,"4 bedroom(s), 4 bathroom(s)",MONTGOMERY
"USD $292,000","14,164.01 m2",151.15 m2,1978,"3 bedroom(s), 2 bathroom(s)",Wilkes
"USD $239,900","3,237.49 m2",139.35 m2,1986,,Madison
"USD $435,000","3,277.96 m2",261.52 m2,2005,"4 bedroom(s), 3 bathroom(s)",SCHUYLKILL
"USD $260,000",,82.59 m2,2010,"1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Douglas
"USD $479,000","2,023.43 m2",190.36 m2,1993,"3 bedroom(s), 2 bathroom(s)",Burnet
"USD $279,000","2,044.07 m2",118.17 m2,1953,"3 bedroom(s), 2 bathroom(s)",Lake
"USD $49,900","149,086.33 m2",,,,Mohave
"USD $319,900",768.90 m2,111.67 m2,1991,"3 bedroom(s), 2 bathroom(s)",Union
"USD $310,000","10,117.15 m2",182.37 m2,1993,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",White
"USD $228,900",501.81 m2,109.53 m2,2022,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Bexar
"USD $475,000",445.15 m2,137.40 m2,1920,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Pinellas
"USD $440,000","1,416.40 m2",228.36 m2,1991,"3 bedroom(s), 3 bathroom(s)",Marion
"USD $255,000","1,375.93 m2",162.67 m2,1996,"3 bedroom(s), 2 bathroom(s)",Hancock
"USD $1,250,000","303,109.81 m2",308.44 m2,1992,"5 bedroom(s), 5 bathroom(s)",Rutherford
"USD $649,000",890.31 m2,205.59 m2,1995,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Walton
"USD $399,999",687.97 m2,98.48 m2,1925,"3 bedroom(s), 1 bathroom(s)",Dekalb - GA
"USD $315,000","2,266.24 m2",142.14 m2,2007,"3 bedroom(s), 2 bathroom(s)",Johnston
"USD $324,900","2,063.90 m2",171.68 m2,1958,"4 bedroom(s), 2 bathroom(s)",Cuyahoga
"USD $150,000","5,787.01 m2",,,,Saline
"USD $268,500",445.15 m2,138.33 m2,2022,"3 bedroom(s), 2 bathroom(s)",Lubbock
"USD $639,900","6,110.76 m2",338.45 m2,2008,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Rock
"USD $1,325,000",792.18 m2,251.12 m2,1965,"3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Los Angeles
"USD $70,000",,130.06 m2,,"2 bedroom(s), 2 bathroom(s)",Morgan
"USD $109,900","3,116.08 m2",,,,Lancaster
"USD $205,000",930.78 m2,129.41 m2,1900,"2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Somerset
"USD $189,000","4,572.95 m2",28.80 m2,1963,"1 bedroom(s), 1 bathroom(s)",Deschutes
"USD $175,000",82.96 m2,108.42 m2,1974,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Clermont
"USD $750,000",,,,,Marshall
"USD $850,000",,131.83 m2,1980,"2 bedroom(s), 2 bathroom(s)",Monroe
"USD $460,000","1,942.49 m2",151.80 m2,1962,"3 bedroom(s), 2 bathroom(s)",New London
"USD $499,000","1,456.87 m2",256.41 m2,1965,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Grand Traverse
"USD $309,900",837.70 m2,167.23 m2,1900,"4 bedroom(s), 1 bathroom(s)",Northampton
"USD $995,000",526.09 m2,372.17 m2,2023,"5 bedroom(s), 4 bathroom(s)",
"USD $410,000",647.50 m2,108.88 m2,1941,"4 bedroom(s), 2 bathroom(s)",PRINCE GEORGES
"USD $429,900",,129.04 m2,1993,"3 bedroom(s), 3 bathroom(s)",
"USD $479,000","1,011.72 m2",138.33 m2,2000,"3 bedroom(s), 2 bathroom(s)",Mohave
"USD $190,000",526.09 m2,297.29 m2,1916,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Lake
"USD $262,715",485.62 m2,148.64 m2,2025,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Lubbock
"USD $150,000",,50.07 m2,1918,"1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Douglas
"USD $367,000",526.09 m2,207.17 m2,2022,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Polk
"USD $179,900",,106.10 m2,1963,"3 bedroom(s), 1 bathroom(s)",
"USD $499,000",978.27 m2,438.04 m2,1999,"5 bedroom(s), 5 bathroom(s), 1 livingroom(s)",Douglas
"USD $325,000","4,411.08 m2",286.05 m2,1961,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Lee
"USD $240,000","4,815.76 m2",112.51 m2,1952,"3 bedroom(s), 2 bathroom(s)",Carteret
"USD $995,000",,205.13 m2,2023,"4 bedroom(s), 4 bathroom(s)",
"USD $529,000","2,144.84 m2",283.17 m2,2014,"4 bedroom(s), 3 bathroom(s)",YORK
"USD $495,000",,90.12 m2,1953,"1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Queens
"USD $339,000","1,659.21 m2",200.39 m2,1987,"3 bedroom(s), 2 bathroom(s)",Escambia - Fl
"USD $615,000","1,681.47 m2",262.82 m2,1999,"4 bedroom(s), 3 bathroom(s)",Cobb - GA
"USD $299,950",121.41 m2,157.56 m2,1994,"3 bedroom(s), 3 bathroom(s)",Roanoke
"USD $144,900",783.47 m2,151.62 m2,1974,"4 bedroom(s), 2 bathroom(s)",Stark
"USD $179,900",,88.44 m2,1972,"2 bedroom(s), 2 bathroom(s)",Franklin
"USD $1,599,000",930.78 m2,351.08 m2,2021,"4 bedroom(s), 4 bathroom(s)",Washoe
"USD $87,500",,,2026,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Cook
"USD $335,000",,170.48 m2,2021,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Santa Rosa
"USD $1,175,000",80.94 m2,208.01 m2,2000,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Rockland County
"USD $279,000",,207.64 m2,1969,"4 bedroom(s), 4 bathroom(s)",DELAWARE
"USD $150,000","45,324.83 m2",,,,Somerset
"USD $430,000","1,052.18 m2",240.80 m2,1978,"4 bedroom(s), 3 bathroom(s)",Oakland
"USD $200,000","46,255.61 m2",,,,Lincoln
"USD $449,000",,94.30 m2,1973,"2 bedroom(s), 2 bathroom(s)",Collier
"USD $629,000","4,411.08 m2",265.70 m2,,"4 bedroom(s), 3 bathroom(s)",
"USD $325,000","8,389.14 m2",210.70 m2,1976,"3 bedroom(s), 2 bathroom(s)",Austin
"USD $277,000","1,011.72 m2",148.27 m2,1972,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Saginaw
"USD $289,700",930.78 m2,111.86 m2,2021,"3 bedroom(s), 2 bathroom(s)",Lee
"USD $5,495,000","2,751.86 m2",,2025,"7 bedroom(s), 9 bathroom(s), 1 livingroom(s)",Essex
"USD $160,000","161,874.41 m2",,,,Storey
"USD $599,000",890.31 m2,151.80 m2,1977,"3 bedroom(s), 2 bathroom(s)",Clackamas
"USD $390,000","1,295.00 m2",169.64 m2,1980,"3 bedroom(s), 3 bathroom(s)",Gwinnett - GA
"USD $225,000",687.97 m2,206.52 m2,1900,"5 bedroom(s), 1 bathroom(s)",Rowan
"USD $185,000","1,133.12 m2",86.96 m2,1953,"2 bedroom(s), 1 bathroom(s)",Calhoun
"USD $250,000",613.16 m2,196.49 m2,1968,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Lancaster
"USD $539,900","1,011.72 m2",247.59 m2,2005,"5 bedroom(s), 4 bathroom(s)",Escambia - Fl
"USD $225,000",971.25 m2,140.47 m2,1946,"3 bedroom(s), 2 bathroom(s)",Spalding
"USD $565,000",687.97 m2,248.14 m2,2025,"5 bedroom(s), 3 bathroom(s)",Canyon
"USD $2,549,000","3,318.43 m2",595.88 m2,1994,"5 bedroom(s), 5 bathroom(s)",Dawson - GA
"USD $270,000","1,214.06 m2",127.00 m2,1959,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Hamilton
"USD $1,685,000",828.51 m2,219.07 m2,1949,"5 bedroom(s), 5 bathroom(s), 1 livingroom(s)",Los Angeles
"USD $2,699,900","9,712.46 m2",412.40 m2,2002,"6 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Kewaunee
"USD $499,000","7,446.22 m2",249.91 m2,2025,"3 bedroom(s), 3 bathroom(s)",Wilson
"USD $234,900",,129.32 m2,2003,"2 bedroom(s), 2 bathroom(s)",Polk
"USD $325,000",955.06 m2,165.09 m2,2004,"3 bedroom(s), 2 bathroom(s)",Lee
"USD $1,050,000",809.37 m2,254.37 m2,2022,"4 bedroom(s), 3 bathroom(s)",Loudon County - 32
"USD $39,900","20,031.96 m2",,,,Claiborne County - 44
"USD $355,000","2,148.07 m2",145.58 m2,1973,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",
"USD $325,000","2,104.37 m2",166.11 m2,1970,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",LaGrange County
"USD $200,000",851.05 m2,102.75 m2,1945,"3 bedroom(s), 2 bathroom(s)","Johnson, KS"
"USD $510,190",768.90 m2,263.19 m2,2025,"5 bedroom(s), 3 bathroom(s)",Bryan County
"USD $400,000","1,456.87 m2",178.93 m2,1975,"4 bedroom(s), 3 bathroom(s)",Mecklenburg
"USD $535,000",202.34 m2,124.58 m2,2018,"3 bedroom(s), 3 bathroom(s)",Denver
"USD $295,500","1,578.28 m2",145.67 m2,2004,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Alamance
"USD $350,000","4,451.55 m2",175.40 m2,2002,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Columbia
"USD $350,000","48,117.17 m2",,,,Guadalupe
"USD $369,900",566.56 m2,181.44 m2,2005,"4 bedroom(s), 2 bathroom(s)",Pinal
"USD $600,000","6,798.72 m2",115.94 m2,1985,"3 bedroom(s), 2 bathroom(s)",St. Johns
"USD $319,000",,67.45 m2,1884,"2 bedroom(s), 1 bathroom(s)",Providence
"USD $1,449,000",638.59 m2,390.19 m2,1996,"4 bedroom(s), 3 bathroom(s)",Hampton
"USD $334,000",,83.43 m2,1989,"2 bedroom(s), 2 bathroom(s)",FAIRFAX
"USD $845,000","1,763.22 m2",522.58 m2,1900,"5 bedroom(s), 7 bathroom(s), 1 livingroom(s)",Jackson
"USD $447,900",930.78 m2,146.04 m2,1994,"3 bedroom(s), 3 bathroom(s)",Mohave
"USD $799,000",983.39 m2,194.07 m2,1965,"4 bedroom(s), 3 bathroom(s)",Lake
"USD $75,000","19,222.59 m2",130.71 m2,1920,"3 bedroom(s), 1 bathroom(s)",St Lawrence
"USD $484,000","1,052.18 m2",318.01 m2,1951,"5 bedroom(s), 4 bathroom(s)",Hampton
"USD $679,999","4,330.14 m2",255.67 m2,1985,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Hillsborough
"USD $479,000",,111.67 m2,1978,"2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",St Johns
"USD $939,000",566.56 m2,150.50 m2,1978,"3 bedroom(s), 3 bathroom(s)",Duval
"USD $69,000",768.90 m2,67.63 m2,1988,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Gladwin
"USD $315,000",121.41 m2,165.74 m2,2005,"3 bedroom(s), 3 bathroom(s)",Cherokee - GA
"USD $275,000",516.91 m2,161.65 m2,2000,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Douglas
"USD $319,000",,150.32 m2,1975,"3 bedroom(s), 3 bathroom(s)",Douglas
"USD $319,000",40.47 m2,107.02 m2,1985,"2 bedroom(s), 2 bathroom(s)",Orange County
"USD $350,000","4,208.73 m2",200.11 m2,2001,"3 bedroom(s), 2 bathroom(s)",Henry - GA
"USD $115,000",80.94 m2,89.19 m2,1968,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Johnson
"USD $325,000","4,532.48 m2",190.92 m2,1983,"3 bedroom(s), 2 bathroom(s)",Escambia - Fl
"USD $40,000",647.50 m2,,,,Mason
"USD $230,000","1,861.56 m2",97.18 m2,1955,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Clermont
"USD $200,000",930.78 m2,163.51 m2,1958,"4 bedroom(s), 2 bathroom(s)",Gregg
"USD $450,000","1,537.81 m2",155.89 m2,1920,"3 bedroom(s), 2 bathroom(s)",Hamilton
"USD $450,000",445.15 m2,221.02 m2,2006,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Dane
"USD $485,000",566.56 m2,139.91 m2,1904,"4 bedroom(s), 2 bathroom(s)",Multnomah
"USD $369,900",121.41 m2,129.60 m2,1972,"4 bedroom(s), 2 bathroom(s)",HOWARD
"USD $190,000",890.31 m2,107.40 m2,2008,"3 bedroom(s), 2 bathroom(s)",Harrison
"USD $549,900","1,173.59 m2",220.83 m2,1997,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Dane
"USD $299,000",687.97 m2,185.81 m2,1948,"2 bedroom(s), 2 bathroom(s)",CAMDEN
"USD $106,000","4,046.86 m2",36.70 m2,2023,"1 bedroom(s), 1 bathroom(s)",Nacogdoches
"USD $344,900","3,804.05 m2",159.42 m2,2025,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Spartanburg
"USD $1,400,000","1,881,789.88 m2",,,,Hinds
"USD $868,230","638,837.31 m2",,,,Perry
"USD $399,900",932.40 m2,209.96 m2,2013,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Oklahoma
"USD $225,000",809.37 m2,119.57 m2,1970,"3 bedroom(s), 2 bathroom(s)",Dorchester
"USD $3,795,000",,372.08 m2,2020,"4 bedroom(s), 4 bathroom(s)",Broward
"USD $1,500,000","4,572.95 m2",635.46 m2,1986,4 bathroom(s),Lauderdale
"USD $750,000",930.78 m2,410.82 m2,2010,"6 bedroom(s), 5 bathroom(s)",Forsyth
"USD $349,900","1,145.67 m2",252.14 m2,1977,"4 bedroom(s), 3 bathroom(s)",Stark
"USD $99,000",529.73 m2,65.59 m2,1975,"2 bedroom(s), 1 bathroom(s)",Lancaster
"USD $249,000","2,670.93 m2",119.10 m2,1967,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Monroe
"USD $235,000","2,306.71 m2",90.49 m2,1968,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Hamilton
"USD $584,900",80.94 m2,152.92 m2,1996,"2 bedroom(s), 3 bathroom(s)",FAIRFAX
"USD $625,000",,246.01 m2,1991,"4 bedroom(s), 3 bathroom(s)",Mathews County VA
"USD $159,995",161.87 m2,123.00 m2,1948,"3 bedroom(s), 2 bathroom(s)",DAUPHIN
"USD $300,000","1,234.29 m2",182.83 m2,2005,"4 bedroom(s), 2 bathroom(s)",Bexar
"USD $310,000",890.31 m2,181.44 m2,1978,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Allen County
"USD $180,000",,65.40 m2,1983,"2 bedroom(s), 1 bathroom(s)",New Haven
"USD $390,000","1,173.59 m2",196.03 m2,1970,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Jefferson
"USD $59,900",,,2023,"3 bedroom(s), 2 bathroom(s)",
"USD $551,900","4,775.29 m2",298.22 m2,,"4 bedroom(s), 3 bathroom(s)",BERKS
"USD $799,000",,,,"3 bedroom(s), 3 bathroom(s)",BERGEN
"USD $599,000",40.47 m2,195.10 m2,1973,"3 bedroom(s), 3 bathroom(s)",Salt Lake
"USD $378,900",768.90 m2,158.77 m2,2010,"4 bedroom(s), 2 bathroom(s)",Mohave
"USD $769,000",,185.34 m2,2025,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Berrien
"USD $450,000",930.78 m2,217.39 m2,2021,"4 bedroom(s), 3 bathroom(s)",Georgetown
"USD $500,000","2,266.24 m2",,1997,"3 bedroom(s), 2 bathroom(s)",Laurens
"USD $360,000","1,133.12 m2",136.29 m2,2024,"3 bedroom(s), 2 bathroom(s)",Colonial Heights
"USD $7,900","1,173.59 m2",,,,Izard
"USD $649,900",644.66 m2,217.02 m2,2025,"4 bedroom(s), 4 bathroom(s)",Mohave
"USD $125,000","1,982.96 m2",,,,Durham
"USD $375,000","2,792.33 m2",123.93 m2,2022,"3 bedroom(s), 2 bathroom(s)",Gilmer - GA
USD $990,"1,011.72 m2",,,,Fulton
"USD $990,000","36,421.74 m2",997.59 m2,1935,,Warren
"USD $25,000","73,971.74 m2",,,,Mohave
"USD $300,000",971.25 m2,155.71 m2,2006,"3 bedroom(s), 3 bathroom(s)",Madison
"USD $597,400","1,618.74 m2",222.97 m2,2005,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Hamilton
"USD $89,900","1,011.72 m2",95.69 m2,1900,"3 bedroom(s), 1 bathroom(s)",Montcalm
"USD $2,350,000","2,347.18 m2",470.93 m2,2014,"5 bedroom(s), 6 bathroom(s), 1 livingroom(s)",Riverside
"USD $3,595,000",,101.45 m2,1963,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Orange
"USD $1,050,000","56,251.35 m2",337.70 m2,1990,"4 bedroom(s), 4 bathroom(s)",Buncombe
"USD $375,000",,137.96 m2,1998,5 bedroom(s),Johnson
"USD $1,890,000",,231.14 m2,2016,"5 bedroom(s), 5 bathroom(s)",Baldwin
"USD $150,000","1,133.12 m2",155.24 m2,1989,"3 bedroom(s), 2 bathroom(s)",Clay
"USD $349,000",,118.92 m2,1957,"3 bedroom(s), 2 bathroom(s)",Cook
"USD $379,900",242.81 m2,199.00 m2,1902,"4 bedroom(s), 3 bathroom(s)",LANCASTER
"USD $340,000",526.09 m2,168.15 m2,2014,"3 bedroom(s), 2 bathroom(s)",Nassau
"USD $650,000","5,018.11 m2",108.70 m2,1992,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Fannin
"USD $453,990",,225.94 m2,2025,"4 bedroom(s), 3 bathroom(s)",Isle of Wight County VA
"USD $379,270",485.62 m2,172.52 m2,2025,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Washtenaw
"USD $485,000",647.50 m2,235.60 m2,2023,"4 bedroom(s), 3 bathroom(s)",Fulton
"USD $79,900","3,290.50 m2",,,,Lake
"USD $50,000","1,780.62 m2",,,,Isle of Wight County VA
"USD $925,000",607.03 m2,227.43 m2,1926,"4 bedroom(s), 2 bathroom(s)",Denver
"USD $10,900","1,214.06 m2",,,,Izard
"USD $284,500",,237.46 m2,1967,"5 bedroom(s), 3 bathroom(s)",St Lawrence
"USD $150,000",890.31 m2,128.26 m2,1952,"3 bedroom(s), 2 bathroom(s)",Lubbock
"USD $399,900","8,498.41 m2",307.69 m2,1979,4 bathroom(s),Cambria
