Building Size,County,Land Size,Price,Year Built,bathroom(s),bedroom(s),livingroom(s)
175.96,Sumter,687.97,419900,1998,2,3,1
138.8,York County VA,1497.34,300000,1970,2,3,0
158.03,Charleston,1011.72,730000,1986,3,4,0
93.27,Hidalgo,511.12,94500,1982,2,2,0
257.81,Mecosta,3156.55,494500,1975,3,4,0
94.39,Yavapai,2225.77,225000,1904,1,2,0
172.99,Banks,8093.72,250000,1969,2,3,0
106.28,Ramsey-MN,554.42,250000,1910,2,4,0
329.62,Orange,396.23,3160000,2018,5,5,0
94.02,Volusia,121.41,174900,1989,2,2,1
109.72,Jefferson,1173.59,225000,1918,2,3,1
308.9,Lexington,647.5,835000,2022,3,4,0
153.29,Pinellas,849.84,534900,1988,2,3,1
229.19,Chatham County,1880.58,400000,1965,3,5,0
185.43,Oklahoma,613.1,333000,2016,2,3,0
145.11,Ada,615.12,439900,2020,2,3,0
110.74,Madison,242.81,205000,2007,2,3,1
103.59,Duval,607.03,379000,1939,1,2,0
154.96,Cobb - GA,80.94,344900,2007,3,3,0
91.04,Pike County,8093.72,79900,1991,2,2,0
159.42,Ottawa,3116.08,514900,2024,3,3,1
100.34,Tipton,566.56,214900,1850,1,2,1
285.12,Sarpy,1113.91,600000,2022,3,4,0
154.96,Cobb,80.94,344900,2007,3,3,0
217.21,Cuyahoga,605.81,153900,1923,2,3,0
162.67,Walton,242.81,399000,1998,2,3,1
166.11,Umatilla,8093.72,549000,1980,2,3,0
115.94,Tompkins,16430.25,299000,1959,1,3,1
236.72,Canyon,647.5,445000,2020,3,5,0
138.15,Wake,607.03,375000,2020,2,3,0
255.76,Wake,607.03,685000,2020,3,3,0
138.43,Lee,267.09,459000,1989,2,3,0
265.52,McCurtain,7082.0,1099000,2021,5,5,0
176.52,Henry,607.03,250000,2006,3,4,0
205.04,Allen,3237.49,269777,1950,2,3,0
159.79,Durham,445.15,424000,2001,3,3,1
154.96,Hillsborough,161.87,253998,2017,3,3,0
139.73,Orange,890.31,425000,1958,2,3,1
195.93,Pima,930.78,595000,1955,3,5,0
269.33,Maricopa,687.97,689000,2023,3,4,0
168.34,Brevard,1375.93,479000,1983,2,3,0
127.09,Wake,445.15,525000,2017,3,3,0
217.95,Canadian,1570.99,334500,1983,3,4,0
231.51,Washington,2751.86,479000,2025,3,4,0
140.47,Hardin,2792.33,225000,2002,2,3,1
471.02,Clark,1011.72,750000,1994,4,4,0
178.93,Spokane,728.43,370000,1999,2,3,0
371.61,Siskiyou,283280.19,600000,1977,2,3,0
160.54,Duval,161.87,299000,2009,3,3,0
136.47,Rabun,404.69,299000,1950,2,3,0
145.67,Cuyahoga,408.73,499000,1890,2,3,0
284.0,Washington,1578.28,850000,1970,3,4,0
138.52,Jackson Co.,2954.21,289000,2002,2,3,0
167.32,El Paso,566.56,352950,2025,3,4,0
174.94,Hennepin,1416.4,399900,1997,2,4,0
115.94,Maricopa,40.47,326000,1977,2,2,0
102.19,Erie,607.03,265000,1961,2,3,0
420.2,Caledonia,49776.38,589900,2009,3,3,1
286.7,Rockingham,1052.18,820000,2025,4,5,0
147.16,East Baton Rouge,809.37,159000,1965,2,3,0
162.12,El Paso,526.09,299000,2018,3,4,0
257.43,Oregon,930777.81,1250000,1940,1,3,0
138.52,Jackson,2954.21,289000,2002,2,3,0
67.45,Shiawassee,890.31,124900,1895,1,2,1
107.02,Montgomery,4046.86,59000,1999,2,4,0
237.27,Fulton - GA,4422.0,1075000,1992,5,6,0
198.63,Mecklenburg,667.73,525000,2007,2,3,0
263.57,Cobb - GA,1827.56,649900,1985,3,5,0
250.47,STAFFORD,3358.89,600000,1996,4,4,0
189.52,Montcalm,526.09,599900,1970,2,3,0
318.66,Cobb,1829.18,649900,1985,3,5,0
194.35,Summit,881.81,219000,1906,2,4,0
197.98,Hennepin,1497.34,399900,1971,2,4,0
300.08,Grand Traverse,2387.65,650000,2002,4,4,1
117.06,Winnebago,485.62,149900,1920,2,4,1
128.86,Lee,1456.87,329000,1990,2,2,0
183.76,CHESTER,161.87,475000,2019,3,3,0
119.57,Richmond,1456.87,45000,1956,2,3,0
282.43,Leon,768.9,550000,2001,6,6,0
110.37,Henry County,1295.0,138000,2001,2,3,0
0.37,Al Counties,1173.59,42600,1990,1,2,0
125.88,Benton,768.9,268000,2024,2,3,0
254.93,BALTIMORE CITY,121.41,319999,1913,5,4,0
213.77,New Hanover,1659.21,455000,2001,3,4,0
147.16,Crawford,1375.93,229000,1969,2,3,0
113.62,Macomb,445.15,159900,1946,1,4,0
140.28,Orange,8296.06,455000,2025,2,3,0
195.75,MADISON,5665.6,359900,2018,2,4,0
412.12,San Bernardino,1725.3,1594000,1999,4,5,1
150.5,Southampton County VA,4492.01,280000,2016,2,4,0
105.54,Lawrence,283.28,135000,1930,1,3,1
185.62,Brevard,445.15,409900,2006,2,3,0
232.26,Hardin,2144.84,315000,1977,2,3,0
235.79,WASHINGTON,202.34,1149900,1910,4,5,0
313.18,Dallas,1052.18,1779000,1959,4,3,0
197.88,Taney,16915.88,239500,1952,2,2,1
109.9,Vanderburgh County,809.37,130000,1945,1,3,1
204.67,Lee,930.78,650000,2021,2,3,0
182.37,Oklahoma,724.79,279000,2005,2,3,0
175.68,Escambia - Fl,475.51,499000,1977,3,3,0
303.51,Clackamas,809.37,750000,2004,3,5,0
249.26,Paulding - GA,1537.81,403000,1996,3,3,0
313.27,Wake,890.31,815000,2015,4,5,0
201.88,Lee,1084.56,535000,1983,3,4,0
150.5,PRINCE GEORGES,283.28,470000,2023,4,4,0
197.88,Pike,4289.67,549999,2007,3,3,1
350.8,Butler,1332.63,475000,1995,4,4,1
249.72,Dakota,1295.0,485000,1999,3,5,0
208.01,Wayne,15539.94,449000,1990,3,3,1
174.38,Tompkins,1618.74,420000,1965,3,5,1
228.17,Hamblen,33508.0,699900,1987,3,3,0
281.22,Manatee,2185.3,825000,2007,3,4,1
178.37,Harnett,1861.56,354706,2025,3,4,0
284.19,Towns,3035.15,949000,2025,3,3,1
291.53,Anderson,3237.49,619900,2016,4,4,0
122.54,Dallas,781.04,337500,2005,2,5,0
426.24,Richland,3480.3,825000,2000,4,4,0
170.57,Queens,167.14,1150000,1965,2,3,0
316.33,Jackson,9469.65,1200000,1998,3,5,0
194.63,Monmouth,971.25,689000,1957,2,3,0
385.55,Kendall,5054.12,624900,1995,4,4,0
85.38,Lee,804.52,174900,1989,2,2,0
89.0,Monongalia,2173.16,214999,1983,1,3,1
613.53,Coos,23309.91,479900,1979,2,4,0
235.7,Orange,405.99,2250000,2015,3,4,0
297.29,Apache,20234.3,1307000,2025,3,3,0
124.86,MONTGOMERY,161.87,400000,1988,4,4,0
183.58,"Johnson, KS",804.52,405000,1998,3,4,0
124.86,Rhea,3277.96,375000,1998,2,3,0
179.4,Shelby,6677.32,635000,2025,2,3,1
345.97,Saline,44313.12,575000,1981,3,4,0
228.91,Allegan,1133.12,474900,1970,3,4,0
102.47,WASHINGTON,121.41,675000,1941,2,3,0
133.78,Lexington,408.73,259000,2025,3,3,1
105.91,Knox County,1699.68,91000,1910,2,2,1
80.27,Henrico,1027.5,297000,1951,1,2,0
144.56,BALTIMORE CITY,404.69,449999,1905,3,3,0
229.38,Aiken,1295.0,646750,2025,4,5,0
175.59,Pinellas,16187.44,990000,1983,3,3,1
125.14,St. Charles,566.56,315000,1993,3,3,0
262.45,Madison,5139.51,399900,1970,3,5,1
215.16,Butts,2832.8,386900,2025,3,4,0
191.75,Mecklenburg,647.5,383000,2001,3,4,0
136.29,Jackson,1456.87,205900,1975,2,3,0
261.89,Nueces,2306.71,755492,2025,4,4,0
207.92,Nueces,768.9,475000,2014,2,4,0
160.72,Dorchester,687.97,359999,2003,2,3,0
178.84,Manatee,242.81,329000,2021,3,3,1
222.41,Daviess County,1780.62,319900,1985,3,3,1
274.25,Niagara,930.78,199900,1890,2,5,0
320.33,WASHINGTON,202.34,1000000,1874,3,6,0
419.18,Cerro Gordo,509.9,2675000,1941,4,7,1
59.83,Los Angeles,312.06,632999,1923,2,2,1
109.81,Tulsa,768.9,215000,1951,1,3,0
146.51,Allen County,971.25,368900,2024,2,3,1
244.89,Mecklenburg,930.78,595000,2003,3,4,0
105.82,Columbia,1011.72,265000,2006,1,3,1
143.44,GLOUCESTER,1375.93,339900,1940,2,3,0
209.59,Trumbull,3164.64,265000,1964,2,3,0
97.55,Knox,15904.16,205000,1994,2,2,1
341.33,Sedgwick,1456.87,415000,1997,3,5,1
174.75,Butte,687.95,572000,2001,3,4,0
166.48,Nassau County,696.87,799000,1888,3,4,0
113.06,Fayette,908.12,249900,1987,2,3,1
328.04,Canyon,3492.44,1025000,2005,4,4,0
474.92,"Johnson, KS",1078.49,885000,2006,6,5,1
140.1,Cuyahoga,445.15,165000,1940,2,3,0
145.39,Charleston,890.31,595000,1974,3,3,0
222.04,Hawkins,2792.33,370000,1977,3,3,0
192.4,Gwinnett - GA,1052.18,440000,2017,3,4,0
150.5,LAWRENCE,2589.99,74900,1934,2,3,0
195.28,Grimes,20638.99,590000,2006,3,3,0
171.78,BALTIMORE,1011.72,399000,1947,3,4,0
219.07,Tuolumne,19465.4,1200000,1988,2,4,0
187.76,Cleveland,849.84,325000,2003,2,3,0
196.58,Riverside,246.19,500000,2023,4,4,1
109.25,Sarasota,1011.72,340000,1960,2,3,1
370.59,Gregg,2832.8,815000,1999,5,5,0
133.69,Marion,1740.55,263000,1975,2,3,0
209.59,Lackawanna,4046.86,289900,1990,3,3,1
204.2,Los Angeles,1490.63,2399000,1953,2,3,1
273.88,Greene,3075.61,619000,2005,4,4,1
165.27,Spartanburg,2509.05,324900,2005,3,3,0
173.91,Queens,371.5,1150000,1955,2,5,0
207.73,Barrow,1011.72,409000,2021,3,4,0
641.31,Mecklenburg,4289.67,2850000,2007,7,6,0
234.12,Gilmer,3035.15,449000,2003,3,3,0
250.84,Collier,2023.43,2697500,2022,3,4,0
174.19,Marion,971.25,350000,2006,2,3,1
329.62,Clay,1375.93,550000,1990,5,4,0
141.49,San Diego,4923.96,859000,1989,3,3,1
116.59,Jefferson,809.37,225000,2008,2,3,1
90.49,Polk,857.93,217500,1954,2,3,0
202.71,Orange,2023.43,499900,1983,2,3,1
92.16,Pulaski,1092.65,229000,1947,1,3,0
151.15,Maricopa,728.43,404999,1999,2,2,0
291.16,Jefferson,809.37,519000,2021,3,4,0
92.16,Polk,651.54,199000,1940,1,2,0
157.94,Barry,80937.2,599500,2001,2,4,1
222.97,Rhea,1861.56,339900,2002,2,3,0
160.54,Franklin,728.43,235000,1963,2,3,1
187.66,Fayette - GA,323.75,1075000,2019,3,4,0
311.41,Douglas,923.92,425000,1992,4,5,1
62.43,Marion,1173.59,88750,1974,1,1,1
156.08,Heard,7810.44,254000,2002,2,3,0
229.19,Maricopa,728.43,649900,2024,3,3,0
131.92,Mohave,445.15,210000,1988,2,3,0
113.16,Hamilton,562.51,289000,1925,1,2,1
140.47,Calhoun,323.75,174900,1915,2,3,1
151.62,Wilson,1456.87,196900,1982,0,4,0
151.62,Wilson,1456.87,196900,1982,2,4,0
218.14,Dutchess County,4370.61,599900,1973,3,3,1
361.49,ADAMS,2630.46,595000,2014,4,5,0
110.74,Brunswick,687.97,289900,2007,2,3,0
124.77,HIDALGO,809.37,229000,2025,2,3,0
135.82,Lowndes,809.37,219900,2020,2,4,0
142.23,Lee,870.07,340000,1981,2,3,0
338.82,Bernalillo,4168.27,895000,2000,5,4,0
145.67,Franklin,768.9,639900,1924,2,4,1
204.39,Grand Traverse,20274.77,495000,2001,3,5,1
135.27,"Bell County, KY - 59",1618.74,75000,1922,1,3,0
130.06,Henry,2792.33,260000,1983,2,3,1
111.02,Wayne,445.15,162000,1946,2,3,1
213.68,Baldwin,1740.15,399000,2007,4,3,0
112.97,Lauderdale,1861.56,79900,1995,2,3,1
188.59,Monroe,8296.06,299900,2025,1,1,0
93.09,Wayne,526.09,78000,1924,1,3,0
162.58,Hennepin,202.34,364900,1972,2,3,0
249.72,Litchfield,8619.81,675000,1997,3,4,0
352.38,MONTGOMERY,3318.43,889000,1987,3,4,0
229.56,Orange,566.56,525000,2019,3,5,1
153.38,Cape Girardeau,692.01,239000,1935,2,3,1
151.25,Mohave,526.09,293000,2001,2,3,0
185.99,Marion,647.5,475000,2003,2,3,1
326.46,Larimer,142449.47,850000,2006,4,4,0
117.06,Fairfield,4046.86,165000,1960,2,3,0
78.87,Charlton,102304.63,330000,2024,1,2,0
148.64,SHENANDOAH,890.31,499000,2025,2,3,0
285.4,Walton,8093.72,799000,2025,4,4,0
166.58,Aiken,242.81,369000,2017,2,2,0
232.44,Maricopa,687.97,570000,2012,3,4,0
129.32,Middlesex,696.87,499900,1969,2,3,0
274.62,Maricopa,687.97,484900,2007,3,4,0
644.38,Weld,8417.06,1150000,2006,3,5,1
201.14,Santa Fe,1456.87,1150000,2021,3,3,0
228.54,Cuyahoga,902.85,177000,1954,2,4,0
96.43,Oconto,33831.75,725000,1952,1,3,1
140.84,Marion,566.56,309500,2002,2,2,1
212.56,Sandoval,2023.43,640000,2025,3,3,0
321.91,Saratoga,3439.83,1299999,2012,5,4,0
164.53,Dawson - GA,2589.99,499999,1994,3,4,0
245.26,Rockwall,849.84,621279,2025,4,3,0
156.45,Pinellas,485.62,625000,1957,2,2,1
299.8,Mecklenburg,651.54,965000,2005,4,4,0
148.37,Hennepin,3403.41,319900,2001,2,3,0
144.28,Lubbock,607.03,210000,2000,2,3,0
106.65,Johnston,40.47,228900,2003,2,2,1
122.63,PRINCE WILLIAM,121.41,349900,1981,3,3,0
363.81,Okaloosa,809.37,1287883,2025,5,6,0
142.42,Anoka,161.87,295000,1999,2,3,0
184.32,Spokane,404.69,365000,1927,1,3,0
161.0,Orange,17590.56,1374999,2017,3,3,0
140.38,Polk,4779.34,359000,1949,2,3,0
224.08,Ada,1335.46,979900,2022,3,3,0
153.2,Henderson,679.87,539000,1975,2,2,0
281.12,Dakota,1416.4,599777,1977,4,5,0
234.58,Kenton,202.34,209900,1899,0,5,0
79.25,Hubbard,5058.58,215000,1990,1,2,0
43.11,Travis,115.34,159900,1984,1,1,0
138.89,Lee,890.31,380000,1998,2,3,0
130.25,Maricopa,1133.12,359000,1960,2,3,0
97.55,Bernalillo,404.69,269900,2001,2,2,0
133.5,Mohave,687.97,235000,1967,2,3,0
306.3,Cobb,671.78,510000,2002,4,3,0
124.03,Ada,283.28,475000,1994,2,2,0
141.21,MONTGOMERY,121.41,489900,1997,4,3,0
192.5,Brevard,2792.33,544750,2014,3,4,0
580.83,Cook,9469.65,949000,1968,8,5,0
111.3,Stanly,5341.86,329000,2022,2,3,0
62.62,Orange,4041.66,220000,1982,1,1,1
176.24,Lake,647.5,699900,2023,2,3,1
169.08,Logan,1104.79,160000,1930,2,3,0
200.11,Los Angeles,706.44,1399000,1965,4,5,1
235.79,Washington,809.37,620000,1976,3,3,0
173.17,Sedgwick,1133.12,240000,1985,2,3,1
191.29,Dubuque,1254.53,289500,1952,2,4,1
153.57,BALTIMORE,566.56,539900,1957,3,3,0
116.5,Perry,25859.44,249000,1975,2,2,0
160.44,DeKalb,687.97,360000,1950,2,3,0
115.85,St. Louis,930.78,249999,1980,2,3,0
111.48,Cumberland,16187.44,639000,1945,1,3,1
141.21,Hidalgo,679.87,245000,2025,2,4,0
363.81,Williamson,1216.49,759000,2001,4,4,0
144.0,WASHINGTON,121.41,419000,2001,3,3,0
16.91,Oxford,10117.15,499000,1920,2,5,1
236.16,Pulaski,1254.53,295000,1978,3,4,1
101.08,St. Louis,226.62,174900,1968,2,2,1
140.38,Lane,971.25,549000,1974,2,3,0
188.04,Washington,607.03,569990,2025,2,3,0
102.66,Saginaw,607.03,57300,1904,1,3,0
145.11,Sebastian,2815.4,186000,1962,3,3,0
141.86,Coryell,730.46,184900,1976,2,3,0
201.6,Hendricks,971.25,339900,2002,3,3,0
139.08,Mohave,1011.72,489900,2004,2,3,0
277.04,LINCOLN,7243.88,249999,1950,2,2,0
148.27,Erie,668.95,299900,1949,2,4,1
164.62,Maricopa,485.62,534850,2021,3,3,0
133.5,Mohave,607.03,219900,1986,2,2,0
201.14,Allen County,1829.18,475000,1999,4,3,1
455.6,MONTGOMERY,809.37,750000,1994,4,5,0
103.03,Warren,1821.09,129900,1977,1,2,0
125.51,Mohave,445.15,249900,1999,2,3,0
165.37,Gilmer,6879.66,449900,1999,2,2,0
267.0,Hall - GA,3156.55,1050000,1972,3,4,0
140.28,Clay,445.15,279900,1989,2,3,0
252.42,Santa Clara,357.34,2799888,2013,3,4,0
122.63,Ulster,74057.53,579000,1954,2,3,0
199.93,Dubuque,728.43,310000,1952,3,4,1
188.78,Lee,824.35,589000,2020,3,4,0
126.72,Coryell,1126.24,224900,1975,2,3,0
202.16,Rogers,4046.86,329000,2001,2,3,0
362.51,ARLINGTON,485.62,1844000,2025,6,5,0
108.79,Santa Clara,69.2,1188000,1984,3,2,0
224.64,Strafford,1982.96,724900,1988,3,4,0
133.69,Aiken,890.31,195500,2003,2,3,0
302.86,Bedford,2792.33,1725000,2022,4,4,0
278.71,Putnam,36421.74,399000,1992,3,4,0
97.55,Rockland County,40.47,480000,1967,2,2,1
148.74,San Francisco,220.15,995000,1986,3,3,0
139.73,Orange County,627.26,324999,1913,2,3,0
166.58,Bexar,687.97,230000,1950,2,4,1
